,p3/p2,p4/p2,p5/p2,p6/p2,p7/p2,p8/p2
(a) 2-layer,,,,,,
(b) Balanced 2-layer,,,,,,
(c) 3-layer,,,,,,
(d) 2-layer AlGaAs,,,,,,
(e) In-plane 4-wire,1.0315226134022587e-06,0.4741308569533751,3.059320162517706e-06,0.5986375191255412,8.700479751698608e-06,4.662913462105214
(f) 5-wire surface (symm RF),3.21478448354388,1.961844242219789,0.8428841093698594,0.7944940732397083,0.6847151090229933,0.46807063946917926
(g) 5-wire symm. surface,0.20475912414498695,0.8596535718609198,0.20085105485938742,0.29365692157626944,0.134937360548518,0.11986618263271247
(h) 5-wire asymm. surface,0.20658517524117798,0.8503003670112661,0.20536404803092856,0.28743180441281446,0.14129714834246554,0.1194952472607417
