geometry,p3_over_p2,p4_over_p2,p5_over_p2,p6_over_p2,p7_over_p2,p8_over_p2
2-layer,2.9621854376448833,5.473430003980764,6.4678825930612796,4.7772698203648405,2.017481839275731,0.37304751987936996
balanced 2-layer,2.8515396385622918,5.078670601811351,5.793455648628719,4.137932008834897,1.6928731901079153,0.303785803303206
3-layer,2.953570686227096,5.439028213897571,6.402414389668424,4.708691115443579,1.9793615154873296,0.3642282754153509
2-layer AlGaAs (high AR),9.070802919338611e-05,0.4748160691332191,0.00035346505703533795,0.34382990564929433,0.051785672081855146,0.9064588120744699
in-plane 4-wire,3.8442552595294077,9.334087810557707,14.613518880244424,14.375911567167144,8.113373476505513,2.0099789343195114
4-wire surface,4.358565527702562,11.992980392137865,21.256474283627636,23.635881512113333,15.049839012134907,4.198971787676196
5-wire symm. surface,4.105635008900986,11.73620669093114,21.950419041171738,25.389615289159902,16.503715961869542,4.62798656122317
5-wire asymm. surface,4.107746913152603,11.66796660447475,21.660436073564618,24.879233723985113,16.064423027587743,4.474305876631026
