,p3/p2,p4/p2,p5/p2,p6/p2,p7/p2,p8/p2
(a) 2-layer,,,,,,
(b) Balanced 2-layer,,,,,,
(c) 3-layer,,,,,,
(d) 2-layer AlGaAs,1.120908812977416e-14,1.1192171829361481,7.873730703320795e-15,1.1964686310924613,1.1949064462761195e-14,1.2283554623870148
(e) In-plane 4-wire,0.003281473986961272,0.5040823453561305,0.001304193386217001,0.0982185307434281,0.002763602915104835,0.18356375482690904
(f) 4-wire surface,0.8621167127443428,0.7733015440668483,0.7528962149482482,0.76314589465382,0.7705810484100617,0.7646822226058311
(g) 5-wire symm. surface,1.3174097601664192,0.8674417246542934,0.3104918582756338,0.0839983867539235,0.2776805035619936,0.3097768748791258
(h) 5-wire asymm. surface,0.9286244987726765,0.6423783397656271,0.4475526815285125,0.4136420046931166,0.4017909986546821,0.3489036326303509
