,p3/p2,p4/p2,p5/p2,p6/p2,p7/p2,p8/p2
(a) 2-layer,,,,,,
(b) Balanced 2-layer,,,,,,
(c) 3-layer,,,,,,
(d) 2-layer AlGaAs,8.178706698621051e-14,1.0923824780812634,2.453599457740479e-13,1.1256037037623536,3.0553081155204453e-13,1.0953917872668775
(e) In-plane 4-wire,4.0484232585966546e-14,0.4741296188590341,1.3361215094857525e-13,0.5986341784928247,3.226629153430494e-13,4.6629199391936575
(f) 4-wire surface,0.19776841008510568,0.43421143188277356,0.26221375959023896,0.07053969110608896,0.01735959854395403,0.02691855552610503
(g) 5-wire symm. surface,2.8273613903431745,4.073054686773957,4.232002113346049,2.454343000212825,3.582329091292783,18.75224524244074
(h) 5-wire asymm. surface,1.0733070124405437,1.7120878617441055,1.8673364235384784,1.1300592597327805,1.5833022722777097,8.1746501752538
