angle_deg,rf_null_x_um,rf_null_y_um,nearest_electrode_R_um,profile_depth_meV,phi_ps_min_V,phi_ps_p2,validation_laplace_bulk,validation_electrodes
0,1.6550000000000296,0.0,25.85699180105835,75807.21296654156,0.23322722657761147,73.13198858754551,True,True
15,0.0,3.3439035390653657,24.6933386586532,70836.08013159779,0.1559531137251934,211.7246407578808,True,True
30,0.0,1.6745078924205927,21.125513265687463,104821.9120697028,0.2537546869527536,208.81829554374542,True,True
45,0.0,-1.6542640687119388,18.074685014993925,157716.7307533279,0.18549869594844773,154.3439110442688,True,True
60,0.0,-3.2047243186433434,15.481285637181509,274708.68506775005,0.025138848697235976,51.52211512205841,True,True
75,0.0,-2.7686000884311284,11.679113492288366,227547.44340551074,0.008438221130903072,5.701670458845734,True,True
90,0.0,0.0,5.499999999999998,578723.4823682134,5.7584370328074985e-05,0.03509514350118812,True,True
