,p3/p2,p4/p2,p5/p2,p6/p2,p7/p2,p8/p2
(a) 2-layer,1.6988400413800907e-15,2.527546530754591e-15,2.0639441777587844e-15,0.10601083173768458,8.0587559422052e-15,5.2404696137991595e-15
(b) Balanced 2-layer,1.3208495677108123e-15,0.04142838645069596,7.044491083659172e-16,0.1037503936132443,7.408565458455815e-15,0.02166805803462597
(c) 3-layer,1.246194587570403e-15,0.02334501614715175,1.5884796804631483e-14,0.06335585148191109,5.706435406755927e-14,0.02321272661473438
(d) 2-layer AlGaAs,1.5457267731692065e-14,0.635323868604657,4.709040037235625e-14,0.47269291529710755,3.825451231168816e-14,0.3782111107649536
(e) In-plane 4-wire,3.075796535240577e-15,0.2390064935774749,1.3079132447138635e-14,0.06982158560324751,1.6729424963264307e-14,0.016303964025890943
(f) 4-wire surface,0.2330589287162135,0.016042857021154676,0.050004749659212,0.027462504472232512,0.006998583883049377,0.001219180212557771
(g) 5-wire symm. surface,0.6808456013313133,0.14360042569965337,0.006301925192325716,0.006268945302253513,0.03780171159772269,0.047733921603084706
(h) 5-wire asymm. surface,0.3348964490199038,0.08706192632203187,0.01749846860394303,0.0014319997658502658,0.013910873453990853,0.018224462408126613
