theta_deg,z_ion_um,null_x_um,null_y_um,R_um,r_fit_um,phi_ps_min_V,phi_rf_p2,phi_ps_p2,phi_rf_p3/p2,phi_rf_p4/p2,phi_rf_p5/p2,phi_rf_p6/p2,phi_rf_p7/p2,phi_rf_p8/p2,phi_ps_p3/p2,phi_ps_p4/p2,phi_ps_p5/p2,phi_ps_p6/p2,phi_ps_p7/p2,phi_ps_p8/p2,taylor_k_x,taylor_k_y,taylor_c30,taylor_c03,taylor_c40_over_c20_sq,taylor_c04_over_c02_sq
0.0,30.0,0.0,7.105427357601002e-15,5.0099999999999625,5.0099999999999625,0.0,0.001831089482856544,1.6746094970644125,1.189287084450775e-14,0.004690821240812374,1.1869677734450673e-14,2.178299559072262e-05,9.798369530883939e-15,7.456437303536397e-07,4.501933517015001e-15,0.009495279586915867,3.955595704929514e-15,4.2415530167090445e-05,7.0814719276530496e-15,3.725284698711159e-06,266893612857.27896,-1452496835.0634003,1.4787577958438253e-09,1.231026488663306e-10,9.153987650609391e-23,-2.852522369703962e-19
22.5,30.0,0.0,9.567085809127242,7.567085809127242,4.895819298766924,30.230707618278604,0.006102096726167468,3.135631679498105,0.004229983814736848,0.00871969445531586,0.00032681820532473935,4.954012919349655e-05,6.5070755601796584e-06,8.58693982796755e-06,0.41049349515215877,0.02203528190239268,0.007883864137116298,0.0013500801363328084,2.9908804027199277e-05,8.374536510847387e-05,142066956806.5748,-78679059689.858,-5.272271276804696e-12,-2.9930346679420807e-05,2.3427028765989274e-22,-4.480963278617791e-22
45.0,30.0,0.0,9.919572490807411,7.919572490807411,4.7517434944844466,73.00717973759994,0.006448480053726403,2.8339783482629763,0.02401256331198462,0.00818523482602199,0.00017080438727665775,6.182708331623376e-05,8.424298350326314e-06,2.8123886206666054e-06,0.5959227002177275,0.03046612279034813,0.012539409768564541,0.002039175237314162,7.75375169699469e-05,4.51886195625766e-05,62419793545.227165,-118398218583.74153,6.405605057600455e-11,-5.5435874418314835e-05,6.761723568733638e-22,-2.610745776659226e-22
67.5,30.0,9.529392013277828,9.426620767097923,7.426620767097923,4.455972460258754,90.11740334451525,0.004026759844164593,2.359563180522488,0.033262149042821855,0.0072566322118918294,0.00036554633897756137,4.860859370923807e-05,5.922331231300473e-06,2.3391523974646363e-05,0.6221216456683376,0.03942159706153656,0.009514167249145201,0.001406951931162328,0.0001119787456517835,5.8959563623748316e-05,-73816672156.0823,-127813142110.92944,0.00014143644224777407,-1.4851842027674203e-05,-4.265406752408576e-22,-2.2053426366386187e-22
90.0,30.0,9.359999999999985,9.590000000000003,7.590000000000003,4.554000000000002,65.54742274347551,0.0031392343850934886,0.7693642041804369,0.03259110878195012,0.013815903946938468,0.0002974819698786854,6.487071770212343e-05,5.70277648127821e-06,8.444018056495629e-06,1.790315275076279,0.18404889608345174,0.03171949967777689,0.005088400549834415,6.637887478577587e-05,7.412726040895519e-05,-3097676496.8192024,25192775288.920433,6.498302342292148e-05,-6.058203049755298e-05,-7.702717775766772e-21,1.1417031746958078e-21
