,p3/p2,p4/p2,p5/p2,p6/p2,p7/p2,p8/p2
(a) 2-layer,0.018617090989378533,0.0014437632177094152,0.021867293875760013,0.32397721545953134,0.005032693694631402,0.0026946356552927293
(b) Balanced 2-layer,0.0191447578622865,0.09706146571410514,0.023311405060531868,0.30977760759328954,0.020534313134324193,0.04069127849699453
(c) 3-layer,0.0008310292617886391,0.08005444587350065,0.0017360488936598386,0.027427835707558926,0.00667459713797235,0.7917652391077777
(d) 2-layer AlGaAs,0.0015291092985950583,0.642508608978339,0.0019738927888673288,0.37460003749332665,0.007622922660450346,3.302717378540557
(e) In-plane 4-wire,0.3420460831954127,0.11745037394264131,0.03656696776940985,0.015144693497274698,0.00391491762771147,0.03459753623413721
(f) 4-wire surface,0.3241153092701806,0.13386058849154814,0.06371236448237912,0.031705480137685926,0.055401962885758015,0.014227017192490919
(g) 5-wire symm. surface,0.16431278622945675,0.21151381708171763,0.11506875841529453,0.02106660031447431,0.004923873023567852,0.10301051823395597
(h) 5-wire asymm. surface,0.2049855425627621,0.20969756820108257,0.11012649422272867,0.024034868335582087,0.004829302655084431,0.045680908274670244
