,p3/p2,p4/p2,p5/p2,p6/p2,p7/p2,p8/p2
(a) 2-layer,1.340024240481948e-15,0.04373698584524145,1.842171598064031e-15,0.10732868953449078,1.3657684060819744e-15,0.006259393343971573
(b) Balanced 2-layer,6.633714646401967e-16,0.0027864690188062068,5.871830238724438e-16,0.10660168437175657,1.028608914614552e-15,0.015188239300617473
(c) 3-layer,0.034790194598760565,0.18237421356942232,0.019232206651513054,0.06319277816367071,0.014003648716696366,0.03933600987394368
(d) 2-layer AlGaAs,2.128467365677829e-15,0.6474708903580043,1.317014005233443e-15,0.4918407251331122,5.6320831570059234e-15,0.4051174135683603
(e) In-plane 4-wire,0.009632849405440803,0.3765523151203748,0.006688486651454096,0.12800781078485005,0.0025666200499319725,0.020310751040826625
(f) 4-wire surface,0.7961906686631048,0.5175326289236923,0.34170702980297196,0.2606973183830778,0.22741036914327686,0.20881570451244896
(g) 5-wire symm. surface,1.2008498348502388,0.6082724696084535,0.10090476097874773,0.1418030425033541,0.19402517677316264,0.15208702440861382
(h) 5-wire asymm. surface,1.1756249070351046,0.6618579819763747,0.2281394494947012,0.15560544057441864,0.1979443892855848,0.17617270623355086
