trap,fit_radius_um,poly_r2,poly_n_points,c0,c1,c2,c3,c4
(a) 2-layer,70.71067811865476,0.9999956398904942,27,-27.75695330233686,2.6041026973677717e-12,8.311916792470713,-5.039395783389548e-16,-0.0001488369015379418
(b) Balanced 2-layer,74.33034373659252,0.9999932434350839,29,-33.3372572430344,1.8276530462657536e-12,6.911333442421646,-3.8758548904636634e-16,-7.017468287691007e-05
(c) 3-layer,45.0,0.9999990874898299,9,8.692116697154272,-2.2130942911591234e-12,12.846898601694276,2.5731217597330005e-15,-0.0009653033731103697
(d) 2-layer AlGaAs,15.033296378372908,0.9997626330472881,25,986.1489580032302,1.9173818088802363e-10,1165.8543808837824,-1.7029758848027869e-13,-2.114061194454968
(e) In-plane 4-wire,20.0,0.9999616815312251,21,79.00760673762657,-6.717237877040816e-11,109.96175932159733,-7.773198240791567e-14,-0.07776488856750163
(f) 4-wire surface,15.0,0.9996056391499837,19,149.30173309637107,-638.9941940063082,146.46082309852693,-15.367526118138048,0.6306428742356047
(g) 5-wire symm. surface,15.0,0.9998293717756772,17,-139.35944162663438,3067.683749156159,34.72160552508847,-17.19175546897602,0.6386440369960837
(h) 5-wire asymm. surface,15.0,0.9996558038172898,17,-125.47968734391289,3300.3836452590513,22.431299291780775,-19.37829536684533,0.776694051513914
